platform,platform_label,device_kind,problem_size,configuration,num_threads,runtime_per_op_s,total_energy_per_op_j,strict_pareto,practical_pareto_2pct
INTEL,Intel Core i9-7900X,CPU,3,4T,4,0.0048433920047846,0.5178184191919192,False,False
INTEL,Intel Core i9-7900X,CPU,3,8T,8,0.002623572220052,0.3915166341145834,False,False
INTEL,Intel Core i9-7900X,CPU,3,10T,10,0.0022424372312373,0.358497366972477,False,False
INTEL,Intel Core i9-7900X,CPU,3,16T,16,0.0025625471243654,0.4101718705583756,False,False
INTEL,Intel Core i9-7900X,CPU,3,20T,20,0.0022411155,0.3907400053763441,False,False
3090,RTX 3090,GPU,3,gpu_resident,-1,0.0002380348142352,0.0784748464808691,True,True
5060ti,RTX 5060 Ti,GPU,3,gpu_resident,-1,0.0004731176098644,0.084270028275212,False,False
AMD,AMD Threadripper 3970X,CPU,4,1T,1,0.0304817714848484,2.3210360909090912,False,False
AMD,AMD Threadripper 3970X,CPU,4,2T,2,0.0151544456515151,1.427058318181818,False,False
AMD,AMD Threadripper 3970X,CPU,4,4T,4,0.0075973408947368,0.967936030075188,False,False
AMD,AMD Threadripper 3970X,CPU,4,8T,8,0.003864740007722,0.7295719343629343,False,False
AMD,AMD Threadripper 3970X,CPU,4,10T,10,0.003130842965625,0.6806244565217391,False,False
AMD,AMD Threadripper 3970X,CPU,4,16T,16,0.0020041032748015,0.574994626984127,False,False
AMD,AMD Threadripper 3970X,CPU,4,20T,20,0.0016870654521812,0.4834760989932886,False,False
AMD,AMD Threadripper 3970X,CPU,4,32T,32,0.0011607068039772,0.3173800539772727,False,False
AMD,AMD Threadripper 3970X,CPU,4,64T,64,0.0011965880670225,0.2903272330960854,False,False
INTEL,Intel Core i9-7900X,CPU,4,1T,1,0.022894172215909,1.4817138837209305,False,False
INTEL,Intel Core i9-7900X,CPU,4,2T,2,0.0114242974942528,0.8941399540229885,False,False
INTEL,Intel Core i9-7900X,CPU,4,4T,4,0.0056336019353932,0.5916,False,False
INTEL,Intel Core i9-7900X,CPU,4,8T,8,0.0030713290945121,0.451609993902439,False,False
INTEL,Intel Core i9-7900X,CPU,4,10T,10,0.0025760560875634,0.410718193902439,False,False
INTEL,Intel Core i9-7900X,CPU,4,16T,16,0.002606036418575,0.4146873237704918,False,False
INTEL,Intel Core i9-7900X,CPU,4,20T,20,0.002491494742647,0.430116029040404,False,False
3090,RTX 3090,GPU,4,gpu_resident,-1,0.0003062447918572,0.1001294602012808,True,True
5060ti,RTX 5060 Ti,GPU,4,gpu_resident,-1,0.0004846154214079,0.0861506518590053,True,True
AMD,AMD Threadripper 3970X,CPU,5,1T,1,0.0935557904090909,6.784058454545454,False,False
AMD,AMD Threadripper 3970X,CPU,5,2T,2,0.0494658983333333,4.139881928571429,False,False
AMD,AMD Threadripper 3970X,CPU,5,4T,4,0.0257072899875,2.713870075,False,False
AMD,AMD Threadripper 3970X,CPU,5,8T,8,0.011591291091954,1.7905085057471264,False,False
AMD,AMD Threadripper 3970X,CPU,5,10T,10,0.0098475020194174,1.7195312619047618,False,False
AMD,AMD Threadripper 3970X,CPU,5,16T,16,0.0059614922982456,1.4099855789473683,False,False
AMD,AMD Threadripper 3970X,CPU,5,20T,20,0.0051717255979381,1.364837482142857,False,False
AMD,AMD Threadripper 3970X,CPU,5,32T,32,0.0030901042752293,0.8868942293577982,False,False
AMD,AMD Threadripper 3970X,CPU,5,64T,64,0.0028799458508522,0.7427797698863636,False,False
INTEL,Intel Core i9-7900X,CPU,5,1T,1,0.0456709579318181,2.7529857045454547,False,False
INTEL,Intel Core i9-7900X,CPU,5,2T,2,0.0227369961999999,1.9037506777777773,False,False
INTEL,Intel Core i9-7900X,CPU,5,4T,4,0.0121015435738636,1.297084237804878,False,False
INTEL,Intel Core i9-7900X,CPU,5,8T,8,0.0067268879019607,1.0133582843137252,False,False
INTEL,Intel Core i9-7900X,CPU,5,10T,10,0.0063174054813664,1.0173943726708077,False,False
INTEL,Intel Core i9-7900X,CPU,5,16T,16,0.0068892084246575,1.0773361493055558,False,False
INTEL,Intel Core i9-7900X,CPU,5,20T,20,0.0064635845961538,1.0498521855345913,False,False
3090,RTX 3090,GPU,5,gpu_resident,-1,0.0004733076907677,0.1587692853762423,True,True
5060ti,RTX 5060 Ti,GPU,5,gpu_resident,-1,0.0010487651956087,0.1862388282025819,False,False
AMD,AMD Threadripper 3970X,CPU,6,1T,1,0.1211086398333333,9.190166333333334,False,False
AMD,AMD Threadripper 3970X,CPU,6,2T,2,0.0608879819117647,5.507739529411765,False,False
AMD,AMD Threadripper 3970X,CPU,6,4T,4,0.0307383907727272,3.6725041969696974,False,False
AMD,AMD Threadripper 3970X,CPU,6,8T,8,0.0158110545078125,2.7522819062500004,False,False
AMD,AMD Threadripper 3970X,CPU,6,10T,10,0.01271476694375,2.54486484375,False,False
AMD,AMD Threadripper 3970X,CPU,6,16T,16,0.0086087858135593,2.249133093220339,False,False
AMD,AMD Threadripper 3970X,CPU,6,20T,20,0.0071839707428571,2.060922310714286,False,False
AMD,AMD Threadripper 3970X,CPU,6,32T,32,0.0057522896522988,1.577701448275862,False,False
AMD,AMD Threadripper 3970X,CPU,6,64T,64,0.0058180355289017,1.4056095578034682,False,False
INTEL,Intel Core i9-7900X,CPU,6,1T,1,0.0712388973928571,4.30705525,False,False
INTEL,Intel Core i9-7900X,CPU,6,2T,2,0.0359557475357142,2.951530703703704,False,False
INTEL,Intel Core i9-7900X,CPU,6,4T,4,0.0191116566981132,2.06094969,False,False
INTEL,Intel Core i9-7900X,CPU,6,8T,8,0.0110582729315789,1.6486653789473684,False,False
INTEL,Intel Core i9-7900X,CPU,6,10T,10,0.0098974679660194,1.5926298834951456,False,False
INTEL,Intel Core i9-7900X,CPU,6,16T,16,0.0113505715505617,1.7668905113636364,False,False
INTEL,Intel Core i9-7900X,CPU,6,20T,20,0.0096999421826923,1.6082024466019418,False,False
3090,RTX 3090,GPU,6,gpu_resident,-1,0.0007474163896627,0.2526645894428152,True,True
5060ti,RTX 5060 Ti,GPU,6,gpu_resident,-1,0.0012177912001216,0.2179719512195121,True,True
