workload,size,zone,current_hour,device,strategy,action,target_hour,delay_hours,expected_cost_saving_pct,expected_co2_saving_pct,rationale
GEMM,64,FR,0,CPU,Execute Now (Carbon-optimal),RUN,0,0,0.0,0.0,Currently in greenest window
GEMM,64,FR,1,CPU,Execute Now (Carbon-optimal),RUN,1,0,0.0,0.0,Currently in greenest window
GEMM,64,FR,2,CPU,Execute Now (Carbon-optimal),RUN,2,0,0.0,0.0,Currently in greenest window
GEMM,64,FR,3,CPU,Execute Now (Carbon-optimal),RUN,3,0,0.0,0.0,Currently in greenest window
GEMM,64,FR,4,CPU,Execute Now (Carbon-optimal),RUN,4,0,0.0,0.0,Currently in greenest window
GEMM,64,FR,5,CPU,Execute Now (Carbon-optimal),RUN,5,0,0.0,0.0,Currently in greenest window
GEMM,64,FR,6,CPU,Execute Now (Carbon-optimal),RUN,6,0,0.0,0.0,Currently in greenest window
GEMM,64,FR,7,CPU,Execute Now (Carbon-optimal),RUN,7,0,0.0,0.0,Currently in greenest window
GEMM,64,FR,8,CPU,Execute Now (Carbon-optimal),RUN,8,0,0.0,0.0,Currently in greenest window
GEMM,64,FR,9,CPU,Execute Now (Carbon-optimal),RUN,9,0,0.0,0.0,Currently in greenest window
GEMM,64,FR,10,CPU,Execute Now (Carbon-optimal),RUN,10,0,0.0,0.0,Currently in greenest window
GEMM,64,FR,11,CPU,Execute Now (Carbon-optimal),RUN,11,0,0.0,0.0,Currently in greenest window
GEMM,64,FR,12,CPU,Execute Now (Carbon-optimal),RUN,12,0,0.0,0.0,Currently in greenest window
GEMM,64,FR,13,CPU,Execute Now,RUN,13,0,0.0,0.0,Currently in optimal window (cheap + green)
GEMM,64,FR,14,CPU,Execute Now,RUN,14,0,0.0,0.0,Currently in optimal window (cheap + green)
GEMM,64,FR,15,CPU,Execute Now,RUN,15,0,0.0,0.0,Currently in optimal window (cheap + green)
GEMM,64,FR,16,CPU,Execute Now (Carbon-optimal),RUN,16,0,0.0,0.0,Currently in greenest window
GEMM,64,FR,17,CPU,Execute Now (Carbon-optimal),RUN,17,0,0.0,0.0,Currently in greenest window
GEMM,64,FR,18,CPU,Execute Now (Carbon-optimal),RUN,18,0,0.0,0.0,Currently in greenest window
GEMM,64,FR,19,CPU,Execute Now (Carbon-optimal),RUN,19,0,0.0,0.0,Currently in greenest window
GEMM,64,FR,20,CPU,Execute Now (Carbon-optimal),RUN,20,0,0.0,0.0,Currently in greenest window
GEMM,64,FR,21,CPU,Execute Now (Carbon-optimal),RUN,21,0,0.0,0.0,Currently in greenest window
GEMM,64,FR,22,CPU,Execute Now (Carbon-optimal),RUN,22,0,0.0,0.0,Currently in greenest window
GEMM,64,FR,23,CPU,Execute Now (Carbon-optimal),RUN,23,0,0.0,0.0,Currently in greenest window
GEMM,64,PL,0,CPU,Execute Now,RUN,0,0,0.0,0.0,Currently in optimal window (cheap + green)
GEMM,64,PL,1,CPU,Execute Now,RUN,1,0,0.0,0.0,Currently in optimal window (cheap + green)
GEMM,64,PL,2,CPU,Execute Now,RUN,2,0,0.0,0.0,Currently in optimal window (cheap + green)
GEMM,64,PL,3,CPU,Execute Now,RUN,3,0,0.0,0.0,Currently in optimal window (cheap + green)
GEMM,64,PL,4,CPU,Execute Now,RUN,4,0,0.0,0.0,Currently in optimal window (cheap + green)
GEMM,64,PL,5,CPU,Execute Now (No Wait),RUN,5,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,64,PL,6,CPU,Execute Now (No Wait),RUN,6,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,64,PL,7,CPU,Execute Now (No Wait),RUN,7,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,64,PL,8,CPU,Execute Now (No Wait),RUN,8,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,64,PL,9,CPU,Execute Now (No Wait),RUN,9,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,64,PL,10,CPU,Execute Now (No Wait),RUN,10,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,64,PL,11,CPU,Execute Now (No Wait),RUN,11,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,64,PL,12,CPU,Execute Now (No Wait),RUN,12,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,64,PL,13,CPU,Execute Now (No Wait),RUN,13,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,64,PL,14,CPU,Execute Now (No Wait),RUN,14,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,64,PL,15,CPU,Execute Now (No Wait),RUN,15,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,64,PL,16,CPU,Wait for Cheap Window,DELAY,0,8,29.0,26.2,Wait 8h for cheapest window
GEMM,64,PL,17,CPU,Wait for Cheap Window,DELAY,0,7,38.6,34.1,Wait 7h for cheapest window
GEMM,64,PL,18,CPU,Wait for Cheap Window,DELAY,0,6,22.4,37.8,Wait 6h for cheapest window
GEMM,64,PL,19,CPU,Wait for Cheap Window,DELAY,0,5,43.0,25.0,Wait 5h for cheapest window
GEMM,64,PL,20,CPU,Wait for Cheap Window,DELAY,0,4,26.4,23.5,Wait 4h for cheapest window
GEMM,64,PL,21,CPU,Wait for Cheap Window,DELAY,0,3,16.9,23.9,Wait 3h for cheapest window
GEMM,64,PL,22,CPU,Wait for Cheap Window,DELAY,0,2,27.0,15.5,Wait 2h for cheapest window
GEMM,64,PL,23,CPU,Wait for Cheap Window,DELAY,0,1,26.0,20.4,Wait 1h for cheapest window
GEMM,128,DE,0,CPU,Wait for Cheap Window,DELAY,1,1,11.9,23.9,Wait 1h for cheapest window
GEMM,128,DE,1,CPU,Execute Now (Cost-optimal),RUN,1,0,0.0,0.0,Currently in cheapest window
GEMM,128,DE,2,CPU,Execute Now (Cost-optimal),RUN,2,0,0.0,0.0,Currently in cheapest window
GEMM,128,DE,3,CPU,Execute Now (Cost-optimal),RUN,3,0,0.0,0.0,Currently in cheapest window
GEMM,128,DE,4,CPU,Execute Now (Cost-optimal),RUN,4,0,0.0,0.0,Currently in cheapest window
GEMM,128,DE,5,CPU,Execute Now (Cost-optimal),RUN,5,0,0.0,0.0,Currently in cheapest window
GEMM,128,DE,6,CPU,Execute Now (Cost-optimal),RUN,6,0,0.0,0.0,Currently in cheapest window
GEMM,128,DE,7,CPU,Wait for Green Window,DELAY,8,1,24.9,21.9,Wait 1h for greenest window
GEMM,128,DE,8,CPU,Execute Now (Carbon-optimal),RUN,8,0,0.0,0.0,Currently in greenest window
GEMM,128,DE,9,CPU,Execute Now (Carbon-optimal),RUN,9,0,0.0,0.0,Currently in greenest window
GEMM,128,DE,10,CPU,Execute Now (Carbon-optimal),RUN,10,0,0.0,0.0,Currently in greenest window
GEMM,128,DE,11,CPU,Execute Now (Carbon-optimal),RUN,11,0,0.0,0.0,Currently in greenest window
GEMM,128,DE,12,CPU,Execute Now (Carbon-optimal),RUN,12,0,0.0,0.0,Currently in greenest window
GEMM,128,DE,13,CPU,Execute Now (No Wait),RUN,13,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,128,DE,14,CPU,Execute Now (No Wait),RUN,14,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,128,DE,15,CPU,Execute Now (No Wait),RUN,15,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,128,DE,16,CPU,Execute Now (No Wait),RUN,16,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,128,DE,17,CPU,Wait for Cheap Window,DELAY,1,8,48.8,29.1,Wait 8h for cheapest window
GEMM,128,DE,18,CPU,Wait for Cheap Window,DELAY,1,7,21.3,38.4,Wait 7h for cheapest window
GEMM,128,DE,19,CPU,Wait for Cheap Window,DELAY,1,6,31.8,37.3,Wait 6h for cheapest window
GEMM,128,DE,20,CPU,Wait for Cheap Window,DELAY,1,5,21.0,32.1,Wait 5h for cheapest window
GEMM,128,DE,21,CPU,Wait for Cheap Window,DELAY,1,4,20.9,15.3,Wait 4h for cheapest window
GEMM,128,DE,22,CPU,Wait for Cheap Window,DELAY,1,3,17.5,15.4,Wait 3h for cheapest window
GEMM,128,DE,23,CPU,Wait for Cheap Window,DELAY,1,2,10.4,17.7,Wait 2h for cheapest window
GEMM,128,FR,0,CPU,Execute Now (Carbon-optimal),RUN,0,0,0.0,0.0,Currently in greenest window
GEMM,128,FR,1,CPU,Execute Now (Carbon-optimal),RUN,1,0,0.0,0.0,Currently in greenest window
GEMM,128,FR,2,CPU,Execute Now (Carbon-optimal),RUN,2,0,0.0,0.0,Currently in greenest window
GEMM,128,FR,3,CPU,Execute Now (Carbon-optimal),RUN,3,0,0.0,0.0,Currently in greenest window
GEMM,128,FR,4,CPU,Execute Now (Carbon-optimal),RUN,4,0,0.0,0.0,Currently in greenest window
GEMM,128,FR,5,CPU,Execute Now (Carbon-optimal),RUN,5,0,0.0,0.0,Currently in greenest window
GEMM,128,FR,6,CPU,Execute Now (Carbon-optimal),RUN,6,0,0.0,0.0,Currently in greenest window
GEMM,128,FR,7,CPU,Execute Now (Carbon-optimal),RUN,7,0,0.0,0.0,Currently in greenest window
GEMM,128,FR,8,CPU,Execute Now (Carbon-optimal),RUN,8,0,0.0,0.0,Currently in greenest window
GEMM,128,FR,9,CPU,Execute Now (Carbon-optimal),RUN,9,0,0.0,0.0,Currently in greenest window
GEMM,128,FR,10,CPU,Execute Now (Carbon-optimal),RUN,10,0,0.0,0.0,Currently in greenest window
GEMM,128,FR,11,CPU,Execute Now (Carbon-optimal),RUN,11,0,0.0,0.0,Currently in greenest window
GEMM,128,FR,12,CPU,Execute Now (Carbon-optimal),RUN,12,0,0.0,0.0,Currently in greenest window
GEMM,128,FR,13,CPU,Execute Now,RUN,13,0,0.0,0.0,Currently in optimal window (cheap + green)
GEMM,128,FR,14,CPU,Execute Now,RUN,14,0,0.0,0.0,Currently in optimal window (cheap + green)
GEMM,128,FR,15,CPU,Execute Now,RUN,15,0,0.0,0.0,Currently in optimal window (cheap + green)
GEMM,128,FR,16,CPU,Execute Now (Carbon-optimal),RUN,16,0,0.0,0.0,Currently in greenest window
GEMM,128,FR,17,CPU,Execute Now (Carbon-optimal),RUN,17,0,0.0,0.0,Currently in greenest window
GEMM,128,FR,18,CPU,Execute Now (Carbon-optimal),RUN,18,0,0.0,0.0,Currently in greenest window
GEMM,128,FR,19,CPU,Execute Now (Carbon-optimal),RUN,19,0,0.0,0.0,Currently in greenest window
GEMM,128,FR,20,CPU,Execute Now (Carbon-optimal),RUN,20,0,0.0,0.0,Currently in greenest window
GEMM,128,FR,21,CPU,Execute Now (Carbon-optimal),RUN,21,0,0.0,0.0,Currently in greenest window
GEMM,128,FR,22,CPU,Execute Now (Carbon-optimal),RUN,22,0,0.0,0.0,Currently in greenest window
GEMM,128,FR,23,CPU,Execute Now (Carbon-optimal),RUN,23,0,0.0,0.0,Currently in greenest window
GEMM,128,PL,0,CPU,Execute Now,RUN,0,0,0.0,0.0,Currently in optimal window (cheap + green)
GEMM,128,PL,1,CPU,Execute Now,RUN,1,0,0.0,0.0,Currently in optimal window (cheap + green)
GEMM,128,PL,2,CPU,Execute Now,RUN,2,0,0.0,0.0,Currently in optimal window (cheap + green)
GEMM,128,PL,3,CPU,Execute Now,RUN,3,0,0.0,0.0,Currently in optimal window (cheap + green)
GEMM,128,PL,4,CPU,Execute Now,RUN,4,0,0.0,0.0,Currently in optimal window (cheap + green)
GEMM,128,PL,5,CPU,Execute Now (No Wait),RUN,5,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,128,PL,6,CPU,Execute Now (No Wait),RUN,6,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,128,PL,7,CPU,Execute Now (No Wait),RUN,7,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,128,PL,8,CPU,Execute Now (No Wait),RUN,8,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,128,PL,9,CPU,Execute Now (No Wait),RUN,9,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,128,PL,10,CPU,Execute Now (No Wait),RUN,10,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,128,PL,11,CPU,Execute Now (No Wait),RUN,11,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,128,PL,12,CPU,Execute Now (No Wait),RUN,12,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,128,PL,13,CPU,Execute Now (No Wait),RUN,13,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,128,PL,14,CPU,Execute Now (No Wait),RUN,14,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,128,PL,15,CPU,Execute Now (No Wait),RUN,15,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,128,PL,16,CPU,Wait for Cheap Window,DELAY,0,8,47.8,38.1,Wait 8h for cheapest window
GEMM,128,PL,17,CPU,Wait for Cheap Window,DELAY,0,7,43.0,25.9,Wait 7h for cheapest window
GEMM,128,PL,18,CPU,Wait for Cheap Window,DELAY,0,6,30.6,39.0,Wait 6h for cheapest window
GEMM,128,PL,19,CPU,Wait for Cheap Window,DELAY,0,5,29.9,32.4,Wait 5h for cheapest window
GEMM,128,PL,20,CPU,Wait for Cheap Window,DELAY,0,4,27.8,17.1,Wait 4h for cheapest window
GEMM,128,PL,21,CPU,Wait for Cheap Window,DELAY,0,3,19.7,20.4,Wait 3h for cheapest window
GEMM,128,PL,22,CPU,Wait for Cheap Window,DELAY,0,2,12.2,18.0,Wait 2h for cheapest window
GEMM,128,PL,23,CPU,Wait for Cheap Window,DELAY,0,1,12.4,20.9,Wait 1h for cheapest window
GEMM,256,DE,0,CPU,Wait for Cheap Window,DELAY,1,1,27.1,17.5,Wait 1h for cheapest window
GEMM,256,DE,1,CPU,Execute Now (Cost-optimal),RUN,1,0,0.0,0.0,Currently in cheapest window
GEMM,256,DE,2,CPU,Execute Now (Cost-optimal),RUN,2,0,0.0,0.0,Currently in cheapest window
GEMM,256,DE,3,CPU,Execute Now (Cost-optimal),RUN,3,0,0.0,0.0,Currently in cheapest window
GEMM,256,DE,4,CPU,Execute Now (Cost-optimal),RUN,4,0,0.0,0.0,Currently in cheapest window
GEMM,256,DE,5,CPU,Execute Now (Cost-optimal),RUN,5,0,0.0,0.0,Currently in cheapest window
GEMM,256,DE,6,CPU,Execute Now (Cost-optimal),RUN,6,0,0.0,0.0,Currently in cheapest window
GEMM,256,DE,7,CPU,Wait for Green Window,DELAY,8,1,13.9,18.2,Wait 1h for greenest window
GEMM,256,DE,8,CPU,Execute Now (Carbon-optimal),RUN,8,0,0.0,0.0,Currently in greenest window
GEMM,256,DE,9,CPU,Execute Now (Carbon-optimal),RUN,9,0,0.0,0.0,Currently in greenest window
GEMM,256,DE,10,CPU,Execute Now (Carbon-optimal),RUN,10,0,0.0,0.0,Currently in greenest window
GEMM,256,DE,11,CPU,Execute Now (Carbon-optimal),RUN,11,0,0.0,0.0,Currently in greenest window
GEMM,256,DE,12,CPU,Execute Now (Carbon-optimal),RUN,12,0,0.0,0.0,Currently in greenest window
GEMM,256,DE,13,CPU,Execute Now (No Wait),RUN,13,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,256,DE,14,CPU,Execute Now (No Wait),RUN,14,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,256,DE,15,CPU,Execute Now (No Wait),RUN,15,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,256,DE,16,CPU,Execute Now (No Wait),RUN,16,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,256,DE,17,CPU,Wait for Cheap Window,DELAY,1,8,43.4,34.7,Wait 8h for cheapest window
GEMM,256,DE,18,CPU,Wait for Cheap Window,DELAY,1,7,25.9,36.7,Wait 7h for cheapest window
GEMM,256,DE,19,CPU,Wait for Cheap Window,DELAY,1,6,50.0,27.7,Wait 6h for cheapest window
GEMM,256,DE,20,CPU,Wait for Cheap Window,DELAY,1,5,31.5,25.6,Wait 5h for cheapest window
GEMM,256,DE,21,CPU,Wait for Cheap Window,DELAY,1,4,14.4,22.0,Wait 4h for cheapest window
GEMM,256,DE,22,CPU,Wait for Cheap Window,DELAY,1,3,19.8,19.0,Wait 3h for cheapest window
GEMM,256,DE,23,CPU,Wait for Cheap Window,DELAY,1,2,15.3,15.0,Wait 2h for cheapest window
GEMM,256,FR,0,CPU,Execute Now (Carbon-optimal),RUN,0,0,0.0,0.0,Currently in greenest window
GEMM,256,FR,1,CPU,Execute Now (Carbon-optimal),RUN,1,0,0.0,0.0,Currently in greenest window
GEMM,256,FR,2,CPU,Execute Now (Carbon-optimal),RUN,2,0,0.0,0.0,Currently in greenest window
GEMM,256,FR,3,CPU,Execute Now (Carbon-optimal),RUN,3,0,0.0,0.0,Currently in greenest window
GEMM,256,FR,4,CPU,Execute Now (Carbon-optimal),RUN,4,0,0.0,0.0,Currently in greenest window
GEMM,256,FR,5,CPU,Execute Now (Carbon-optimal),RUN,5,0,0.0,0.0,Currently in greenest window
GEMM,256,FR,6,CPU,Execute Now (Carbon-optimal),RUN,6,0,0.0,0.0,Currently in greenest window
GEMM,256,FR,7,CPU,Execute Now (Carbon-optimal),RUN,7,0,0.0,0.0,Currently in greenest window
GEMM,256,FR,8,CPU,Execute Now (Carbon-optimal),RUN,8,0,0.0,0.0,Currently in greenest window
GEMM,256,FR,9,CPU,Execute Now (Carbon-optimal),RUN,9,0,0.0,0.0,Currently in greenest window
GEMM,256,FR,10,CPU,Execute Now (Carbon-optimal),RUN,10,0,0.0,0.0,Currently in greenest window
GEMM,256,FR,11,CPU,Execute Now (Carbon-optimal),RUN,11,0,0.0,0.0,Currently in greenest window
GEMM,256,FR,12,CPU,Execute Now (Carbon-optimal),RUN,12,0,0.0,0.0,Currently in greenest window
GEMM,256,FR,13,CPU,Execute Now,RUN,13,0,0.0,0.0,Currently in optimal window (cheap + green)
GEMM,256,FR,14,CPU,Execute Now,RUN,14,0,0.0,0.0,Currently in optimal window (cheap + green)
GEMM,256,FR,15,CPU,Execute Now,RUN,15,0,0.0,0.0,Currently in optimal window (cheap + green)
GEMM,256,FR,16,CPU,Execute Now (Carbon-optimal),RUN,16,0,0.0,0.0,Currently in greenest window
GEMM,256,FR,17,CPU,Execute Now (Carbon-optimal),RUN,17,0,0.0,0.0,Currently in greenest window
GEMM,256,FR,18,CPU,Execute Now (Carbon-optimal),RUN,18,0,0.0,0.0,Currently in greenest window
GEMM,256,FR,19,CPU,Execute Now (Carbon-optimal),RUN,19,0,0.0,0.0,Currently in greenest window
GEMM,256,FR,20,CPU,Execute Now (Carbon-optimal),RUN,20,0,0.0,0.0,Currently in greenest window
GEMM,256,FR,21,CPU,Execute Now (Carbon-optimal),RUN,21,0,0.0,0.0,Currently in greenest window
GEMM,256,FR,22,CPU,Execute Now (Carbon-optimal),RUN,22,0,0.0,0.0,Currently in greenest window
GEMM,256,FR,23,CPU,Execute Now (Carbon-optimal),RUN,23,0,0.0,0.0,Currently in greenest window
GEMM,256,PL,0,CPU,Execute Now,RUN,0,0,0.0,0.0,Currently in optimal window (cheap + green)
GEMM,256,PL,1,CPU,Execute Now,RUN,1,0,0.0,0.0,Currently in optimal window (cheap + green)
GEMM,256,PL,2,CPU,Execute Now,RUN,2,0,0.0,0.0,Currently in optimal window (cheap + green)
GEMM,256,PL,3,CPU,Execute Now,RUN,3,0,0.0,0.0,Currently in optimal window (cheap + green)
GEMM,256,PL,4,CPU,Execute Now,RUN,4,0,0.0,0.0,Currently in optimal window (cheap + green)
GEMM,256,PL,5,CPU,Execute Now (No Wait),RUN,5,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,256,PL,6,CPU,Execute Now (No Wait),RUN,6,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,256,PL,7,CPU,Execute Now (No Wait),RUN,7,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,256,PL,8,CPU,Execute Now (No Wait),RUN,8,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,256,PL,9,CPU,Execute Now (No Wait),RUN,9,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,256,PL,10,CPU,Execute Now (No Wait),RUN,10,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,256,PL,11,CPU,Execute Now (No Wait),RUN,11,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,256,PL,12,CPU,Execute Now (No Wait),RUN,12,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,256,PL,13,CPU,Execute Now (No Wait),RUN,13,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,256,PL,14,CPU,Execute Now (No Wait),RUN,14,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,256,PL,15,CPU,Execute Now (No Wait),RUN,15,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,256,PL,16,CPU,Wait for Cheap Window,DELAY,0,8,44.5,35.2,Wait 8h for cheapest window
GEMM,256,PL,17,CPU,Wait for Cheap Window,DELAY,0,7,26.8,33.1,Wait 7h for cheapest window
GEMM,256,PL,18,CPU,Wait for Cheap Window,DELAY,0,6,49.0,25.3,Wait 6h for cheapest window
GEMM,256,PL,19,CPU,Wait for Cheap Window,DELAY,0,5,29.7,25.6,Wait 5h for cheapest window
GEMM,256,PL,20,CPU,Wait for Cheap Window,DELAY,0,4,29.8,24.9,Wait 4h for cheapest window
GEMM,256,PL,21,CPU,Wait for Cheap Window,DELAY,0,3,10.5,21.6,Wait 3h for cheapest window
GEMM,256,PL,22,CPU,Wait for Cheap Window,DELAY,0,2,19.7,24.3,Wait 2h for cheapest window
GEMM,256,PL,23,CPU,Wait for Cheap Window,DELAY,0,1,10.6,18.8,Wait 1h for cheapest window
GEMM,512,DE,0,CPU,Wait for Cheap Window,DELAY,1,1,19.9,24.2,Wait 1h for cheapest window
GEMM,512,DE,1,CPU,Execute Now (Cost-optimal),RUN,1,0,0.0,0.0,Currently in cheapest window
GEMM,512,DE,2,CPU,Execute Now (Cost-optimal),RUN,2,0,0.0,0.0,Currently in cheapest window
GEMM,512,DE,3,CPU,Execute Now (Cost-optimal),RUN,3,0,0.0,0.0,Currently in cheapest window
GEMM,512,DE,4,CPU,Execute Now (Cost-optimal),RUN,4,0,0.0,0.0,Currently in cheapest window
GEMM,512,DE,5,CPU,Execute Now (Cost-optimal),RUN,5,0,0.0,0.0,Currently in cheapest window
GEMM,512,DE,6,CPU,Execute Now (Cost-optimal),RUN,6,0,0.0,0.0,Currently in cheapest window
GEMM,512,DE,7,CPU,Wait for Green Window,DELAY,8,1,29.6,21.7,Wait 1h for greenest window
GEMM,512,DE,8,CPU,Execute Now (Carbon-optimal),RUN,8,0,0.0,0.0,Currently in greenest window
GEMM,512,DE,9,CPU,Execute Now (Carbon-optimal),RUN,9,0,0.0,0.0,Currently in greenest window
GEMM,512,DE,10,CPU,Execute Now (Carbon-optimal),RUN,10,0,0.0,0.0,Currently in greenest window
GEMM,512,DE,11,CPU,Execute Now (Carbon-optimal),RUN,11,0,0.0,0.0,Currently in greenest window
GEMM,512,DE,12,CPU,Execute Now (Carbon-optimal),RUN,12,0,0.0,0.0,Currently in greenest window
GEMM,512,DE,13,CPU,Execute Now (No Wait),RUN,13,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,512,DE,14,CPU,Execute Now (No Wait),RUN,14,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,512,DE,15,CPU,Execute Now (No Wait),RUN,15,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,512,DE,16,CPU,Execute Now (No Wait),RUN,16,0,0.0,0.0,Optimal window too far (>8h delay)
GEMM,512,DE,17,CPU,Wait for Cheap Window,DELAY,1,8,23.4,25.3,Wait 8h for cheapest window
GEMM,512,DE,18,CPU,Wait for Cheap Window,DELAY,1,7,30.9,37.6,Wait 7h for cheapest window
GEMM,512,DE,19,CPU,Wait for Cheap Window,DELAY,1,6,31.7,32.5,Wait 6h for cheapest window
GEMM,512,DE,20,CPU,Wait for Cheap Window,DELAY,1,5,35.1,35.8,Wait 5h for cheapest window
GEMM,512,DE,21,CPU,Wait for Cheap Window,DELAY,1,4,16.1,15.8,Wait 4h for cheapest window
GEMM,512,DE,22,CPU,Wait for Cheap Window,DELAY,1,3,23.9,19.4,Wait 3h for cheapest window
GEMM,512,DE,23,CPU,Wait for Cheap Window,DELAY,1,2,10.5,21.1,Wait 2h for cheapest window
GEMM,512,FR,0,CPU,Execute Now (Carbon-optimal),RUN,0,0,0.0,0.0,Currently in greenest window
GEMM,512,FR,1,CPU,Execute Now (Carbon-optimal),RUN,1,0,0.0,0.0,Currently in greenest window
GEMM,512,FR,2,CPU,Execute Now (Carbon-optimal),RUN,2,0,0.0,0.0,Currently in greenest window
GEMM,512,FR,3,CPU,Execute Now (Carbon-optimal),RUN,3,0,0.0,0.0,Currently in greenest window
GEMM,512,FR,4,CPU,Execute Now (Carbon-optimal),RUN,4,0,0.0,0.0,Currently in greenest window
GEMM,512,FR,5,CPU,Execute Now (Carbon-optimal),RUN,5,0,0.0,0.0,Currently in greenest window
